,FALSE,Meds,17. Knowing Me,Violin 2,1,"del \>",,,,
,FALSE,Meds,17. Knowing Me,Violin 2,5,"del \pppp",,,,
,FALSE,Meds,17. Knowing Me,Violin 3,1,"del \pppp; add \p 2 sb; (skip) add a tie into a new half note at b' in bar 2",,,,
,FALSE,Meds,17. Knowing Me,Violin 4,1,"del \ppp; add \p 2 sb",,,,
,FALSE,Meds,17. Knowing Me,Violin 1,3,"add \pp 1 sb",,,,
,FALSE,Meds,17. Knowing Me,Violin 1,6,"del dyn; add \pp 1 sb",,,,
,FALSE,Meds,17. Knowing Me,Violin 1,9,"del dyn",,,,
,FALSE,Meds,17. Knowing Me,Violin 4,10,"del \ppp",,,,
,FALSE,Meds,17. Knowing Me,Violin 1,11,"del \ppp",,,,
,FALSE,Meds,17. Knowing Me,Violin 3,12,"del \ppp",,,,
,FALSE,Meds,17. Knowing Me,Violin 2,13,"del \ppp",,,,
,FALSE,Meds,17. Knowing Me,All Violins,15,"del \ppp",,,,
,FALSE,Meds,17. Knowing Me,Piano,2,replace \mp with \ben-p,,,,
,FALSE,Meds,17. Knowing Me,Sam,all,dynamics above staff,,,,
,FALSE,Meds,17. Knowing Me,Sam,2,"remove ""solo""; \ben-mp snp",,,,
,FALSE,Meds,17. Knowing Me,Sam,9,del \mp,,,,
,FALSE,Meds,17. Knowing Me,Sam,16,replace \> with \sfz,,,,
,FALSE,Meds,17. Knowing Me,Every part,16,replace \f with \rf except in sam,,,,
,FALSE,Meds,17. Knowing Me,Donna,all,dynamics above staff,,,,
,FALSE,Meds,17. Knowing Me,Drum,18,del \f,,,,
,FALSE,Meds,17. Knowing Me,Piano,19,\< sb 2°,,,,
,FALSE,Meds,17. Knowing Me,Donna,19,\< sn 2°,,,,
,FALSE,Meds,17. Knowing Me,Bass Guitar,19,\< sb 3°,,,,
,FALSE,Meds,17. Knowing Me,Drum,19,\< sb 4°,,,,
,FALSE,Meds,17. Knowing Me,Every part,20,\f spn except for sam,,,,
,FALSE,Meds,17. Knowing Me,Sam,20,move \f to 3rd symbol (to 1st note),,,,
,FALSE,Meds,17. Knowing Me,Electric Keyboard,24,replace \mp with \ben-mf,,,,
,FALSE,Meds,17. Knowing Me,Piano,33-fin,"copy the entire bass guitar part into the left hand, and put the rhythm guitar's chords in the middle; remove the currently present bar 33",,,,
,FALSE,Meds,17. Knowing Me,Electric Keyboard,41,replace \mf with \f,,,,
,FALSE,Meds,17. Knowing Me,Rhythm Guitar,41,del \f,,,,
,FALSE,Meds,17. Knowing Me,Bass Guitar,41,del \>,,,,
,FALSE,Meds,17. Knowing Me,Drum,41,del \ff,,,,
,FALSE,Meds,17. Knowing Me,Lead Guitar,42,"replace \p with \rf \>, place a \! on the last note",,,,
,FALSE,Meds,17. Knowing Me,Every part,43,\p sbp; remove all \>,,,,
,FALSE,Meds,17. Knowing Me,Everyone,44,\fermata spn,,,,
